Type,loc,class,amp_x,amp_y,amp_z,power_x,power_y,power_z,sma,iqr_x,iqr_y,iqr_z,var_x,var_y,var_z,ori_x,ori_y,ori_z
dynamic,外套右邊,run,34.96014832,17.52900726,30.26209301,4464.966806,952.7558376,7801.993075,14.14845542,10.30379295,3.330175042,5.577532291,32.36501416,7.484749215,22.37955042,233.9024687,890,755
dynamic,外套右邊,run,19.5227104,23.28351106,11.79154767,888.7006764,12738.42711,203.241948,12.93698935,1.307553291,0.626536369,0.912563309,3.141124115,2.504259685,1.484636837,284.0926804,966,430
dynamic,外套右邊,run,28.69243569,55.1843538,30.99449637,1375.411905,12152.7821,1615.947142,12.1643538,3.309744477,10.03138578,3.432327867,10.8199956,42.46159395,12.31014207,1666.459938,4506,2365
dynamic,外套右邊,run,47.46418689,34.35252621,31.27059326,10881.04534,2807.271824,2372.285714,12.13977333,11.54324472,2.969235778,4.61048758,54.87279337,18.00684846,12.86813422,3709.992039,6390,4311
dynamic,外套右邊,run,51.15363753,33.58122493,30.49736762,10603.32737,2511.846365,2185.418157,11.44215618,11.78160107,2.683208585,3.868178785,57.33204275,16.80033035,13.21862642,3297.619873,6653,4402
dynamic,外套右邊,run,54.93587527,35.95863023,36.1453443,10987.19602,2862.461974,2447.845736,12.23681833,12.72140455,3.766026258,4.324460447,60.81373752,18.24581206,16.04308474,2661.658058,7025,4310
dynamic,外套右邊,run,56.82817579,35.00676163,37.92256567,11035.15702,2400.074014,2850.724908,12.20447001,11.59772587,2.424421847,6.456045032,60.03488733,15.96833704,18.6498996,2480.726471,7592,3987
dynamic,外套右邊,run,56.09628695,33.65752662,40.74791769,10591.364,2273.222776,2797.991822,11.91301583,11.14825511,2.492523499,5.094010234,60.0245692,14.80375589,19.30876324,2985.215345,6541,4114
dynamic,外套右邊,run,55.22781672,32.11131906,38.27950868,10534.54715,1779.584863,2677.477766,11.88322133,12.10167867,2.758120537,5.271074653,55.52207176,12.23846831,16.72213625,3770.292561,7285,3929
dynamic,外套右邊,run,49.91546401,29.58869321,37.90784232,9793.325526,2181.662632,2909.498847,12.06954345,9.513813496,3.432327628,5.78864789,55.07331647,14.19418731,19.39330577,3391.985851,7603,4070
dynamic,外套右邊,run,53.74750638,35.14590484,40.08734992,9844.473646,2775.919181,2986.783543,11.96324087,10.37870526,2.567435563,6.027004242,56.13011963,18.37586728,21.21783221,3941.362215,7554,4009
dynamic,外套右邊,run,50.57069381,36.44179795,38.04516296,10034.63596,3373.071301,2865.045275,11.87694321,9.806650877,3.030527174,4.120155096,58.07660713,22.38112396,21.18783039,3331.64455,6701,3798
dynamic,外套右邊,run,52.26157424,37.25378739,37.79676243,9318.306827,2887.249566,2448.543805,11.38448252,10.07905775,2.62191695,4.882894516,52.98009712,19.46868568,18.09582251,2433.799805,7572,4199
dynamic,外套右邊,run,53.19582358,34.3764003,38.3236267,10188.12611,3221.64465,2753.503172,12.39845354,11.33893955,3.316554546,6.061054349,57.34774083,21.41323112,20.04900609,3247.478428,7851,4071
dynamic,外套右邊,run,57.49648129,38.4119127,39.74444128,10054.8159,2796.185679,3015.913685,12.25171558,12.19702053,3.159920871,5.570722461,58.58693065,18.87478543,21.77845547,4579.514952,7848,4026
dynamic,外套右邊,run,53.12920604,38.17749051,36.99428576,10484.04659,3404.305772,2799.462765,12.73321616,12.23788285,3.200781822,5.96571219,60.7042255,22.8464077,20.69733217,4198.54937,7728,4105
dynamic,外套右邊,run,52.32076682,39.59251151,37.58043698,9706.876237,3886.79479,2657.529847,12.35642199,10.32422411,3.500429213,5.863559723,57.24848333,26.33750409,18.84589849,3506.762565,7620,3947
dynamic,外套右邊,run,55.31047637,42.16585685,37.97677841,9846.325525,3879.805925,2364.280461,12.06677677,10.54215002,3.193971694,4.705830097,58.91862304,25.63890433,17.8816232,2473.482096,7568,4033
dynamic,外套右邊,run,52.25133111,34.58942216,35.17628158,9148.804003,3106.030217,2337.021952,11.46769431,9.79984045,2.764930546,4.440233231,55.31948915,20.73391932,17.6480048,1756.517328,7096,3826
dynamic,外套右邊,run,57.55105176,43.46902492,41.31693066,10127.07866,4395.41678,2821.676569,12.74055839,11.31850886,3.813697278,4.896515012,61.35899571,29.80197307,21.67570109,2278.540314,7145,3956
dynamic,外套右邊,run,54.10644266,41.59563639,36.9534047,9943.04823,3680.787925,2173.891269,12.20468278,10.43999588,3.159920871,3.316554785,60.86363713,24.57569415,17.11354632,1511.968042,8589,4416
dynamic,外套右邊,run,45.32851524,38.53097395,38.35429647,10407.39856,5072.334386,2335.289267,12.89644749,11.95185566,3.432327628,4.365321398,62.65757907,34.13556836,18.05545306,1959.859113,7892,4117
dynamic,外套右邊,run,48.35754651,38.53214965,36.83449491,9712.675763,3764.140074,2684.014537,12.50475609,9.391230106,4.181446791,5.019098282,58.55113832,24.44532133,20.83586416,1482.459419,7060,3958
dynamic,外套右邊,run,46.17277557,39.37927808,41.76754872,9610.646867,4242.474215,2991.679015,12.68022443,9.963284731,2.969235778,4.447043657,58.70966716,27.68892114,23.00529838,1441.723971,7300,3741
dynamic,外套右邊,run,59.25641619,48.72116339,44.58088237,10137.07498,5556.582972,3447.061399,13.62151814,9.724928379,5.863559246,4.86246407,61.16279676,34.95578046,25.92209233,2159.656465,7833,3948
dynamic,外套右邊,run,49.87716535,42.9596376,36.51057972,10503.81589,4427.627108,2879.428116,13.24866117,10.69197345,3.173541069,6.204068184,62.77434378,30.41045028,22.26306103,2280.921926,7046,3848
dynamic,外套右邊,run,46.11635039,45.54948161,38.81437416,9392.865545,5639.752854,2778.446853,12.59850241,9.636396527,3.296123952,5.516240954,57.20189887,36.76697406,20.56069433,4158.419903,7594,3889
dynamic,外套右邊,run,48.66507369,39.41023965,37.57018541,9924.364225,3831.255788,2836.543843,12.30938922,10.13353825,3.030527234,6.129156351,59.74816001,25.20440089,20.50823266,3338.899628,6924,4074
dynamic,外套右邊,run,45.58643181,44.85086949,44.60576761,9458.83561,5189.256081,4016.453055,13.45222147,9.173303843,4.269979119,6.244929314,56.72926186,34.02307173,31.13884655,2309.110077,6520,3592
dynamic,外套右邊,run,46.54683731,39.94912938,46.07315772,9804.115478,4718.697914,3978.336841,13.4803135,12.1425401,3.731975377,4.385751724,59.6087592,30.82972643,31.29590583,2151.720642,6587,3547
dynamic,外套右邊,run,39.69369355,36.50514898,41.2669309,9768.943429,4393.417249,3405.535511,12.98295802,11.56367493,3.827317655,4.583246946,57.61723346,28.70037469,25.79762713,1541.879227,6922,3772
dynamic,外套右邊,run,50.73860612,40.54337061,42.73073402,9650.723544,3671.86157,3294.800595,12.82462145,9.207355022,3.04414776,7.83169961,57.36369918,23.95123197,24.62892241,2239.823456,6631,3677
dynamic,外套右邊,run,52.54856955,46.18567533,45.94941563,10127.14435,4532.382147,3892.761871,13.43977166,10.26293278,3.234832644,7.899801493,59.96835703,30.04041414,27.74040619,3514.266041,6921,3751
dynamic,外套右邊,run,46.89896534,38.38166061,46.9146282,10422.37865,4491.891789,4475.433064,13.83284637,12.19702089,3.84774816,6.966807842,60.70425885,29.779327,32.77293501,3141.930538,7498,3691
dynamic,外套右邊,run,47.30459258,37.32188236,41.59018617,9857.533651,3616.329273,3362.186432,12.53572106,11.91099381,3.003286719,5.536671281,59.05937739,23.53346179,25.95717882,3516.39447,6634,3762
dynamic,外套右邊,run,55.63889488,42.16080142,41.99707558,9289.390279,4207.222361,3463.235868,12.65766577,10.34465408,3.42551744,5.591152668,57.89444769,28.00645379,26.64211526,2501.057262,6424,3875
dynamic,外套右邊,run,44.32967903,39.83974197,41.5582792,10022.846,4445.793356,3172.901846,12.83111241,9.227785826,2.982856214,4.61048758,59.88679972,29.0451642,24.75637386,2421.060425,6502,3821
dynamic,外套右邊,run,58.16730434,42.77376198,47.59900131,11024.96751,5459.021151,3969.738206,14.4681079,12.69416451,5.557102084,6.878275394,63.30119238,33.64918612,30.65296211,3371.428802,6818,3670
