Type,loc,class,amp_x,amp_y,amp_z,power_x,power_y,power_z,sma,iqr_x,iqr_y,iqr_z,var_x,var_y,var_z,ori_z,ori_x,ori_y
static,外套右邊,move,22.78799476,36.08998002,27.00011689,2062.998469,9177.191225,2262.102372,13.25047012,1.648061991,3.983952045,1.110058308,9.424177604,24.34475885,15.84982259,564,462.042037,1993
static,外套右邊,move,20.93738576,27.89292217,9.632127243,3279.375499,8904.304138,254.0631028,13.64737563,3.657063246,3.05095768,1.375655055,5.564307466,6.323342326,0.946133713,402,244.6244621,986
static,外套右邊,move,29.47948576,35.94536392,21.82656839,2589.320096,10316.00447,1187.410501,14.88469911,3.200781822,2.621917248,4.011192322,9.065484638,9.146888267,6.818825236,1201,498.1341414,1568
static,外套右邊,move,10.26910853,14.09124597,4.953839943,4154.604118,7787.204315,359.9163944,15.06463663,0.612915993,0.490332603,0.503952861,0.340538731,0.420221241,0.175451564,322,54.04073334,306
static,外套右邊,move,17.593832,19.0727607,7.867176215,6917.426055,5208.636229,256.2408484,14.64900319,1.988571167,2.621917248,0.674207211,1.686302863,2.992600966,0.428903482,488,140.0383072,884
static,外套右邊,move,17.78829217,10.02619813,6.254909896,9619.673266,2426.956481,242.2599664,14.1989997,1.014716148,0.667396784,0.694637775,0.935857316,0.349700207,0.283888071,382,106.1198364,321
static,外套右邊,move,16.40777117,9.935312997,4.330626939,9520.402387,2387.531998,176.3561658,13.99001249,0.96704483,0.667397261,0.38136971,0.709395554,0.362681049,0.102502256,343,52.96266011,322
static,外套右邊,move,17.34343576,9.869906954,4.123209907,9069.037113,2661.812797,173.5578753,14.0159763,0.715067863,0.558434486,0.38136977,0.863647409,0.293771758,0.098817361,285,94.82673807,255
static,外套右邊,move,13.26324108,8.522484573,4.109988231,9190.529765,2608.310588,170.781104,14.06577568,0.694637299,0.54481411,0.38136977,0.250414082,0.162843889,0.101371966,243,38.90677166,213
static,外套右邊,move,15.23678865,10.11400387,5.714177937,9035.085958,2861.622522,169.4559783,14.13100433,0.762739658,0.762739658,0.531193614,0.540675029,0.347299215,0.221899048,295,45.41245005,973
